ID,Created,Type,Description,Pass Rate,# Tests
eval-Mz2-2026-02-26T22:54:09,2026-02-26T22:54:09.348Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,1
eval-hv3-2026-02-26T22:53:30,2026-02-26T22:53:30.413Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,2
eval-XFp-2026-02-26T22:50:24,2026-02-26T22:50:24.267Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,1
eval-SA7-2026-02-26T22:49:18,2026-02-26T22:49:18.291Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,1
eval-mFS-2026-02-26T22:45:40,2026-02-26T22:45:40.213Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,2
eval-NUN-2026-02-26T22:28:00,2026-02-26T22:28:00.311Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,1
eval-wfV-2026-02-26T22:21:42,2026-02-26T22:21:42.359Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,1
eval-kIo-2026-02-26T22:19:24,2026-02-26T22:19:24.472Z,Eval,"devoir 2: légendes urbaines (Jailbreak IA)",100.00,1
eval-YGz-2026-02-26T21:33:54,2026-02-26T21:33:54.238Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",100.00,1
eval-2OJ-2026-02-26T21:04:51,2026-02-26T21:04:51.175Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",100.00,1
eval-B2A-2026-02-26T21:01:11,2026-02-26T21:01:11.803Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",100.00,1
eval-zBD-2026-02-26T20:57:17,2026-02-26T20:57:17.900Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",0.00,1
eval-Fd9-2026-02-26T14:33:10,2026-02-26T14:33:10.915Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",0.00,1
eval-6CM-2026-02-26T14:31:51,2026-02-26T14:31:51.962Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",0.00,1
eval-5gG-2026-02-26T14:30:35,2026-02-26T14:30:35.420Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",0.00,1
eval-omt-2026-02-26T14:29:22,2026-02-26T14:29:22.230Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",100.00,1
eval-pgv-2026-02-26T14:08:24,2026-02-26T14:08:24.373Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",100.00,1
eval-Vp1-2026-02-26T13:59:37,2026-02-26T13:59:37.638Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",0.00,1
eval-XQd-2026-02-26T13:37:00,2026-02-26T13:37:00.832Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw )",0.00,1
eval-FhI-2026-02-26T13:34:33,2026-02-26T13:34:33.508Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw)",0.00,1
eval-iFk-2026-02-26T13:29:57,2026-02-26T13:29:57.153Z,Eval,"devoir 1: themes technique autour des llms ( cas openclaw)",0.00,1
eval-Zwr-2026-02-26T12:40:47,2026-02-26T12:40:47.954Z,Eval,"Getting started",100.00,2
eval-rHL-2026-02-26T12:37:40,2026-02-26T12:37:40.123Z,Eval,"Getting started",0.00,2
eval-R8Q-2026-02-26T12:34:02,2026-02-26T12:34:02.033Z,Eval,"Getting started",0.00,2
eval-JiK-2026-01-29T21:27:13,2026-01-29T21:27:13.448Z,Eval,"Thème technique autour des LLMs: Langchain",100.00,1
eval-lmn-2026-01-29T21:25:59,2026-01-29T21:25:59.765Z,Eval,"Thème technique autour des LLMs: Langchain",100.00,1
eval-rnR-2026-01-29T21:24:33,2026-01-29T21:24:33.099Z,Eval,"Thème technique autour des LLMs: Langchain",100.00,1
eval-ORJ-2026-01-29T21:22:04,2026-01-29T21:22:04.991Z,Eval,"Thème technique autour des LLMs: Langchain",100.00,1
eval-oAK-2026-01-29T21:20:51,2026-01-29T21:20:51.953Z,Eval,"Thème technique autour des LLMs: Langchain",100.00,1
eval-1lf-2026-01-29T21:20:22,2026-01-29T21:20:22.645Z,Eval,"Thème technique autour des LLMs: Langchain",100.00,1
eval-s0O-2026-01-29T20:56:32,2026-01-29T20:56:32.302Z,Eval,"AI Slop",100.00,1
eval-WHX-2026-01-29T20:52:37,2026-01-29T20:52:37.706Z,Eval,"AI Slop",100.00,1
eval-tgP-2026-01-29T19:02:19,2026-01-29T19:02:19.181Z,Eval,"My eval",100.00,2
eval-YRh-2026-01-29T19:01:18,2026-01-29T19:01:18.957Z,Eval,"My eval",100.00,2
eval-t5D-2026-01-29T18:58:48,2026-01-29T18:58:48.830Z,Eval,"My eval",100.00,2
eval-zY1-2026-01-29T18:58:38,2026-01-29T18:58:38.140Z,Eval,"My eval",100.00,2
eval-LAq-2026-01-29T18:58:00,2026-01-29T18:58:00.884Z,Eval,"My eval",100.00,2
eval-SHs-2026-01-29T18:52:52,2026-01-29T18:52:52.256Z,Eval,"My eval",100.00,2
eval-Iq2-2026-01-29T18:52:11,2026-01-29T18:52:11.839Z,Eval,"My eval",100.00,2
eval-tr5-2026-01-29T18:49:31,2026-01-29T18:49:31.231Z,Eval,"My eval",100.00,2
eval-Ask-2026-01-29T18:35:38,2026-01-29T18:35:38.824Z,Eval,"Getting started",37.50,2
eval-4kk-2026-01-29T18:20:36,2026-01-29T18:20:36.401Z,Eval,"Getting started",37.50,2
eval-uyO-2026-01-29T12:43:28,2026-01-29T12:43:28.057Z,Eval,"My eval",0.00,1
eval-3JR-2026-01-29T12:41:26,2026-01-29T12:41:26.237Z,Eval,"My eval",0.00,1
